filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_17408_18432.png,"[8, 1, 12]",[-0.65425513 -0.95094059 -1.16541096]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_14336_15360.png,"[8, 1, 12]",[-0.67183322 -0.96324172 -1.15811664]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_7168_8192.png,"[8, 1, 16]",[-0.69785296 -0.98843767 -1.14525718]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_7168_8192.png,"[8, 1, 16]",[-0.67108169 -0.94763519 -1.15244369]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_17408_18432.png,"[8, 1, 12]",[-0.700831   -0.96790786 -1.16913222]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_17408_18432.png,"[8, 1, 16]",[-0.65337941 -0.97317159 -1.16669903]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_7168_8192.png,"[8, 1, 16]",[-0.69234834 -0.96549928 -1.13790667]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_19456_20480.png,"[8, 1, 16]",[-0.64650071 -0.97554756 -1.18209027]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_22528_23552.png,"[8, 1, 16]",[-0.72393913 -0.98389826 -1.20327876]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_11264_12288.png,"[8, 1, 16]",[-0.69452491 -0.9720858  -1.18709418]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_32768_33792.png,"[8, 1, 16]",[-0.67960702 -0.9426713  -1.18841179]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_31744_32768.png,"[8, 1, 16]",[-0.67260236 -0.92527248 -1.18178336]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_29696_30720.png,"[8, 1, 16]",[-0.68262592 -0.94122613 -1.21390268]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_32768_33792.png,"[8, 1, 16]",[-0.65968403 -0.96114463 -1.18440977]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_9216_10240.png,"[8, 1, 16]",[-0.64807744 -0.961919   -1.15932683]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_24576_25600.png,"[8, 1, 16]",[-0.70480196 -0.91966798 -1.20176253]
